date,msl_m
1995-04-15,-0.062
1995-05-15,0.062
1995-06-15,0.038
1995-07-15,0.039
1995-08-15,0.164
1995-09-15,0.128
1995-10-15,0.07
1995-11-15,-0.034
1995-12-15,-0.105
1996-01-15,0.017
1996-02-15,-0.103
1996-03-15,-0.068
1996-04-15,0.012
1996-05-15,0.046
1996-06-15,0.082
1996-07-15,0.063
1996-08-15,0.114
1996-09-15,0.256
1996-10-15,0.168
1996-11-15,0.076
1996-12-15,0.1
1997-01-15,-0.043
1997-02-15,-0.023
1997-03-15,0.02
1997-04-15,0.064
1997-05-15,-0.004
1997-06-15,0.153
1997-07-15,0.07
1997-08-15,0.098
1997-09-15,0.108
1997-10-15,0.096
1997-11-15,0.071
1997-12-15,-0.007
1998-01-15,0.065
1998-02-15,0.209
1998-03-15,0.036
1998-04-15,0.12
1998-05-15,0.181
1998-06-15,0.1
1998-07-15,0.092
1998-08-15,0.148
1998-09-15,0.14
1998-10-15,0.054
1998-11-15,-0.002
1998-12-15,-0.041
1999-01-15,-0.079
1999-02-15,0.05
1999-03-15,-0.057
1999-04-15,0.059
1999-05-15,0.104
1999-06-15,0.068
1999-07-15,0.068
1999-08-15,0.126
1999-09-15,0.161
1999-10-15,0.037
1999-11-15,-0.041
1999-12-15,-0.072
2000-01-15,-0.202
2000-02-15,-0.172
2000-03-15,-0.007
2000-04-15,0.022
2000-05-15,0.093
2000-06-15,0.047
2000-07-15,0.125
2000-08-15,0.102
2000-09-15,0.132
2000-10-15,0.045
2000-11-15,0.041
2000-12-15,-0.165
2001-01-15,-0.086
2001-02-15,-0.128
2001-03-15,-0.017
2001-04-15,0.005
2001-05-15,0.08
2001-06-15,0.048
2001-07-15,0.072
2001-08-15,0.074
2001-09-15,0.142
2001-10-15,0.034
2001-11-15,-0.006
2001-12-15,-0.023
2002-01-15,-0.173
2002-02-15,-0.056
2002-03-15,-0.135
2002-04-15,-0.053
2002-05-15,-0.026
2002-06-15,0.068
2002-07-15,0.057
2002-08-15,0.095
